prefecture,category,name,rating,num_reviews,price_range
Kyoto,bbq,飯田,4.71,-1,"￥30,000～￥39,999"
Kyoto,bbq,富小路 やま岸,4.65,-1,"￥40,000～￥49,999"
Kyoto,bbq,やまぐち,4.63,-1,"￥30,000～￥39,999"
Kyoto,bbq,旬席 鈴江,4.62,-1,"￥60,000～￥79,999"
Kyoto,bbq,竹屋町 三多,4.61,-1,"￥30,000～￥39,999"
Kyoto,bbq,にくの匠 三芳,4.59,-1,"￥40,000～￥49,999"
Kyoto,bbq,未在,4.56,-1,"￥50,000～￥59,999"
Kyoto,bbq,草喰 なかひがし,4.53,-1,"￥20,000～￥29,999"
Osaka,sushi,鮨 おおが,4.49,-1,"￥30,000～￥39,999"
Osaka,sushi,鮓 きずな,4.30,-1,"￥15,000～￥19,999"
Osaka,sushi,尽誠,4.28,-1,"￥20,000～￥29,999"
