dinner_max_price,dinner_start_price,lunch_max_price,lunch_start_price,rating
2999,2000,1999,1000,3.40
0,0,999,999,3.10
0,0,999,999,3.26
999,999,999,999,3.35
999,999,999,999,3.15
0,0,999,999,3.52
999,999,999,999,3.49
1999,1000,999,999,3.18
1999,1000,999,999,3.27
999,999,999,999,3.43
0,0,999,999,3.27
999,999,999,999,3.48
999,999,999,999,3.63
1999,1000,1999,1000,3.34
999,999,999,999,3.48
999,999,999,999,3.70
999,999,999,999,3.03
0,0,999,999,3.21
999,999,999,999,3.09
999,999,999,999,3.22
999,999,999,999,3.56
999,999,999,999,3.36
1999,1000,999,999,3.04
999,999,999,999,3.03
999,999,999,999,3.26
999,999,999,999,3.56
999,999,999,999,3.55
999,999,999,999,3.17
999,999,999,999,3.43
999,999,999,999,3.37
0,0,999,999,3.20
999,999,0,0,3.12
999,999,0,0,3.08
999,999,999,999,3.68
0,0,999,999,3.18
0,0,999,999,3.19
0,0,999,999,3.33
1999,1000,1999,1000,3.57
0,0,999,999,3.14
999,999,999,999,3.56
999,999,999,999,3.33
999,999,999,999,3.20
0,0,999,999,3.21
999,999,999,999,3.25
999,999,999,999,3.34
999,999,0,0,3.44
1999,1000,999,999,3.05
0,0,999,999,3.34
999,999,999,999,3.28
0,0,999,999,3.44
999,999,999,999,3.40
999,999,999,999,3.30
999,999,999,999,3.62
999,999,999,999,3.05
999,999,999,999,3.49
999,999,999,999,3.18
0,0,999,999,3.24
0,0,999,999,3.39
999,999,999,999,3.58
999,999,999,999,3.38
999,999,999,999,3.50
999,999,999,999,3.56
999,999,999,999,3.42
999,999,999,999,3.69
999,999,999,999,3.34
999,999,999,999,3.37
1999,1000,999,999,3.40
999,999,999,999,3.27
0,0,999,999,3.24
999,999,999,999,3.57
0,0,999,999,3.33
0,0,999,999,3.24
2999,2000,999,999,3.34
999,999,999,999,3.14
0,0,999,999,3.28
999,999,999,999,3.21
1999,1000,999,999,3.22
1999,1000,999,999,3.35
0,0,999,999,3.20
999,999,999,999,3.64
0,0,999,999,3.53
999,999,999,999,3.04
0,0,999,999,3.57
999,999,999,999,3.38
1999,1000,999,999,3.57
1999,1000,999,999,3.03
0,0,999,999,3.14
0,0,999,999,3.29
999,999,999,999,3.16
999,999,999,999,3.38
0,0,999,999,3.56
0,0,999,999,3.11
999,999,999,999,3.41
999,999,999,999,3.03
0,0,999,999,3.35
1999,1000,1999,1000,3.48
0,0,999,999,3.32
999,999,999,999,3.22
0,0,1999,1000,3.35
999,999,999,999,3.67
999,999,999,999,3.14
999,999,999,999,3.66
0,0,999,999,3.04
999,999,999,999,3.30
0,0,999,999,3.27
999,999,999,999,3.38
1999,1000,999,999,3.29
0,0,999,999,3.37
999,999,999,999,3.45
1999,1000,999,999,3.23
999,999,999,999,3.33
0,0,999,999,3.51
999,999,999,999,3.41
999,999,999,999,3.43
0,0,1999,1000,3.07
0,0,999,999,3.13
999,999,999,999,3.02
999,999,999,999,3.20
2999,2000,999,999,3.51
0,0,1999,1000,3.04
0,0,1999,1000,3.41
999,999,999,999,3.25
1999,1000,999,999,3.30
999,999,999,999,3.41
1999,1000,999,999,3.38
1999,1000,999,999,3.62
0,0,999,999,3.08
999,999,999,999,3.53
999,999,999,999,3.35
1999,1000,999,999,3.41
999,999,999,999,3.41
0,0,999,999,3.58
0,0,2999,2000,3.45
999,999,999,999,3.07
1999,1000,999,999,3.08
999,999,999,999,3.79
0,0,999,999,3.08
999,999,999,999,3.19
1999,1000,999,999,3.37
999,999,999,999,3.45
0,0,999,999,3.07
999,999,999,999,3.01
0,0,999,999,3.55
999,999,999,999,3.27
999,999,999,999,3.40
999,999,999,999,3.59
999,999,999,999,3.18
999,999,999,999,3.35
0,0,999,999,3.50
0,0,999,999,3.40
999,999,999,999,3.70
999,999,999,999,3.23
1999,1000,999,999,3.02
0,0,999,999,3.25
999,999,999,999,3.58
999,999,999,999,3.33
999,999,999,999,3.40
0,0,1999,1000,3.21
999,999,999,999,3.22
999,999,999,999,3.37
999,999,999,999,3.23
999,999,999,999,3.27
999,999,999,999,3.16
999,999,999,999,3.35
999,999,999,999,3.44
999,999,999,999,3.45
2999,2000,999,999,3.35
999,999,999,999,3.36
999,999,999,999,3.42
999,999,999,999,3.37
999,999,999,999,3.19
999,999,999,999,3.54
1999,1000,999,999,3.45
1999,1000,1999,1000,3.40
999,999,999,999,3.08
1999,1000,999,999,3.38
0,0,999,999,3.27
0,0,999,999,3.36
999,999,999,999,3.08
999,999,999,999,3.26
999,999,999,999,3.23
0,0,1999,1000,3.33
999,999,999,999,3.26
0,0,999,999,3.38
999,999,999,999,3.14
0,0,999,999,3.28
999,999,999,999,3.03
999,999,999,999,3.03
0,0,999,999,3.52
999,999,999,999,3.44
999,999,999,999,3.67
1999,1000,999,999,3.38
999,999,999,999,3.41
999,999,999,999,3.32
999,999,999,999,3.28
999,999,999,999,3.43
0,0,999,999,3.74
999,999,999,999,3.44
999,999,999,999,3.35
0,0,999,999,3.44
1999,1000,1999,1000,3.33
0,0,999,999,3.46
999,999,999,999,3.24
999,999,999,999,3.47
999,999,0,0,3.14
999,999,0,0,3.23
1999,1000,999,999,3.40
999,999,0,0,3.27
999,999,999,999,3.06
999,999,999,999,3.25
0,0,999,999,3.27
999,999,999,999,3.44
1999,1000,999,999,3.35
999,999,999,999,3.50
0,0,999,999,3.24
999,999,999,999,3.59
999,999,999,999,3.02
1999,1000,999,999,3.34
1999,1000,999,999,3.30
0,0,999,999,3.50
999,999,999,999,3.30
0,0,999,999,3.21
999,999,999,999,3.67
1999,1000,999,999,3.23
999,999,999,999,3.54
0,0,1999,1000,3.49
0,0,999,999,3.19
0,0,999,999,3.58
999,999,999,999,3.24
999,999,999,999,3.39
1999,1000,999,999,3.42
999,999,0,0,3.24
0,0,999,999,3.13
999,999,1999,1000,3.12
0,0,999,999,3.25
999,999,999,999,3.05
0,0,999,999,3.27
999,999,999,999,3.26
0,0,999,999,3.69
1999,1000,999,999,3.46
1999,1000,999,999,3.33
0,0,999,999,3.17
1999,1000,999,999,3.24
999,999,0,0,3.48
999,999,999,999,3.45
999,999,0,0,3.36
999,999,999,999,3.42
999,999,999,999,3.53
999,999,0,0,3.23
0,0,999,999,3.20
999,999,999,999,3.55
0,0,999,999,3.34
4999,4000,0,0,3.55
999,999,999,999,3.45
999,999,999,999,3.44
999,999,999,999,3.21
999,999,999,999,3.18
0,0,999,999,3.20
999,999,0,0,3.57
0,0,999,999,3.29
999,999,999,999,3.22
0,0,999,999,3.47
999,999,999,999,3.28
999,999,999,999,3.55
0,0,999,999,3.42
0,0,999,999,3.41
0,0,999,999,3.14
999,999,999,999,3.62
0,0,999,999,3.09
2999,2000,999,999,3.34
0,0,1999,1000,3.29
999,999,999,999,3.51
999,999,999,999,3.42
999,999,999,999,3.20
0,0,999,999,3.59
999,999,999,999,3.28
0,0,999,999,3.25
1999,1000,999,999,3.24
999,999,999,999,3.31
0,0,999,999,3.37
999,999,999,999,3.42
0,0,999,999,3.03
0,0,1999,1000,3.48
0,0,999,999,3.51
999,999,0,0,3.21
0,0,999,999,3.32
999,999,999,999,3.53
999,999,999,999,3.31
0,0,999,999,3.41
999,999,999,999,3.24
0,0,1999,1000,3.16
0,0,999,999,3.27
999,999,999,999,3.24
1999,1000,1999,1000,3.72
0,0,999,999,3.33
999,999,999,999,3.04
0,0,999,999,3.21
999,999,999,999,3.35
0,0,999,999,3.18
0,0,1999,1000,3.29
999,999,999,999,3.42
999,999,999,999,3.31
999,999,999,999,3.19
999,999,999,999,3.39
999,999,999,999,3.17
0,0,999,999,3.24
0,0,999,999,3.20
999,999,999,999,3.26
1999,1000,999,999,3.05
0,0,999,999,3.10
999,999,999,999,3.26
999,999,999,999,3.47
999,999,999,999,3.58
999,999,999,999,3.38
999,999,999,999,3.30
999,999,999,999,3.33
0,0,999,999,3.41
0,0,999,999,3.25
999,999,999,999,3.02
999,999,999,999,3.18
999,999,999,999,3.44
999,999,999,999,3.20
999,999,999,999,3.18
999,999,999,999,3.41
999,999,0,0,3.48
2999,2000,0,0,3.47
999,999,999,999,3.35
999,999,999,999,3.35
0,0,999,999,3.45
999,999,999,999,3.53
999,999,999,999,3.41
999,999,999,999,3.32
999,999,999,999,3.48
0,0,999,999,3.54
0,0,999,999,3.40
999,999,999,999,3.45
0,0,999,999,3.35
999,999,999,999,3.33
1999,1000,1999,1000,3.23
0,0,999,999,3.20
999,999,1999,1000,3.29
0,0,999,999,3.38
999,999,999,999,3.07
999,999,999,999,3.33
999,999,999,999,3.38
999,999,999,999,3.14
999,999,999,999,3.35
0,0,999,999,3.18
999,999,999,999,3.29
0,0,999,999,3.66
0,0,1999,1000,3.30
999,999,999,999,3.52
0,0,999,999,3.34
0,0,999,999,3.24
999,999,999,999,3.40
999,999,999,999,3.41
999,999,999,999,3.04
1999,1000,999,999,3.58
999,999,999,999,3.75
999,999,999,999,3.55
0,0,999,999,3.42
999,999,999,999,3.22
999,999,999,999,3.61
999,999,999,999,3.21
0,0,999,999,3.20
999,999,999,999,3.51
0,0,999,999,3.24
0,0,999,999,3.53
999,999,999,999,3.28
999,999,999,999,3.25
1999,1000,999,999,3.04
