dinner_max_price,dinner_start_price,lunch_max_price,lunch_start_price,rating
3999,3000,0,0,3.02
19999,15000,0,0,3.38
29999,20000,0,0,3.06
5999,5000,0,0,3.18
5999,5000,999,999,3.21
4999,4000,999,999,3.14
19999,15000,1999,1000,3.29
3999,3000,999,999,3.06
4999,4000,0,0,3.39
3999,3000,0,0,3.26
4999,4000,0,0,3.10
3999,3000,0,0,3.20
2999,2000,1999,1000,3.09
14999,10000,1999,1000,3.42
4999,4000,0,0,3.19
1999,1000,1999,1000,3.32
14999,10000,0,0,3.06
2999,2000,2999,2000,3.14
4999,4000,999,999,3.42
2999,2000,999,999,3.04
3999,3000,0,0,3.40
14999,10000,5999,5000,3.07
3999,3000,999,999,3.40
5999,5000,999,999,3.28
2999,2000,1999,1000,3.26
29999,20000,14999,10000,3.09
9999,8000,2999,2000,3.24
9999,8000,0,0,3.51
9999,8000,0,0,3.12
3999,3000,999,999,3.22
19999,15000,2999,2000,3.30
4999,4000,0,0,3.04
3999,3000,1999,1000,3.14
3999,3000,2999,2000,3.02
3999,3000,0,0,3.01
2999,2000,1999,1000,3.34
5999,5000,0,0,3.06
3999,3000,0,0,3.24
4999,4000,0,0,3.26
4999,4000,0,0,3.04
4999,4000,999,999,3.08
3999,3000,999,999,3.21
3999,3000,1999,1000,3.05
14999,10000,0,0,3.44
9999,8000,2999,2000,3.46
5999,5000,999,999,3.43
4999,4000,0,0,3.04
9999,8000,0,0,3.06
3999,3000,0,0,3.28
4999,4000,1999,1000,3.23
2999,2000,999,999,3.50
5999,5000,0,0,3.06
4999,4000,999,999,3.50
3999,3000,0,0,3.00
2999,2000,0,0,3.39
9999,8000,0,0,3.37
14999,10000,1999,1000,3.54
14999,10000,0,0,3.02
3999,3000,0,0,3.04
9999,8000,1999,1000,3.59
7999,6000,0,0,3.07
5999,5000,0,0,3.04
19999,15000,0,0,3.67
7999,6000,0,0,3.36
5999,5000,2999,2000,3.20
3999,3000,0,0,3.03
3999,3000,3999,3000,3.08
4999,4000,1999,1000,3.07
3999,3000,0,0,3.06
4999,4000,999,999,3.14
3999,3000,0,0,3.39
3999,3000,999,999,3.04
3999,3000,0,0,3.03
4999,4000,0,0,3.52
3999,3000,999,999,3.22
5999,5000,3999,3000,3.22
2999,2000,1999,1000,3.15
3999,3000,1999,1000,3.18
3999,3000,1999,1000,3.14
14999,10000,1999,1000,3.74
3999,3000,999,999,3.12
5999,5000,0,0,3.07
2999,2000,0,0,3.07
7999,6000,2999,2000,3.08
7999,6000,0,0,3.41
9999,8000,2999,2000,3.55
29999,20000,14999,10000,3.32
14999,10000,0,0,3.37
19999,15000,0,0,3.28
5999,5000,1999,1000,3.51
5999,5000,1999,1000,3.33
29999,20000,7999,6000,3.05
5999,5000,999,999,3.09
3999,3000,1999,1000,3.09
7999,6000,0,0,3.40
3999,3000,2999,2000,3.08
4999,4000,1999,1000,3.18
4999,4000,1999,1000,3.04
4999,4000,1999,1000,3.52
4999,4000,0,0,3.07
1999,1000,1999,1000,3.25
14999,10000,1999,1000,3.09
3999,3000,999,999,3.29
3999,3000,1999,1000,3.18
29999,20000,5999,5000,3.37
4999,4000,3999,3000,3.12
29999,20000,0,0,3.08
4999,4000,2999,2000,3.08
7999,6000,2999,2000,3.42
3999,3000,1999,1000,3.05
5999,5000,1999,1000,3.14
3999,3000,999,999,3.38
