dinner_max_price,dinner_start_price,lunch_max_price,lunch_start_price,rating
2999,2000,999,999,3.26
1999,1000,999,999,3.56
999,999,999,999,3.40
999,999,999,999,3.51
999,999,999,999,3.63
999,999,999,999,3.11
3999,3000,1999,1000,3.22
2999,2000,999,999,3.17
2999,2000,0,0,3.05
2999,2000,999,999,3.44
1999,1000,999,999,3.25
2999,2000,1999,1000,3.63
1999,1000,1999,1000,3.23
3999,3000,999,999,3.47
2999,2000,999,999,3.59
1999,1000,999,999,3.14
4999,4000,1999,1000,3.09
3999,3000,1999,1000,3.14
5999,5000,999,999,3.19
4999,4000,1999,1000,3.48
7999,6000,1999,1000,3.37
3999,3000,1999,1000,3.11
2999,2000,999,999,3.46
1999,1000,999,999,3.18
5999,5000,999,999,3.65
3999,3000,0,0,3.31
999,999,999,999,3.59
999,999,999,999,3.51
0,0,999,999,3.45
3999,3000,0,0,3.32
999,999,999,999,3.42
999,999,999,999,3.45
999,999,999,999,3.46
1999,1000,999,999,3.50
999,999,999,999,3.66
999,999,1999,1000,3.04
999,999,999,999,3.55
999,999,999,999,3.04
999,999,999,999,3.49
999,999,999,999,3.33
999,999,999,999,3.38
999,999,999,999,3.08
0,0,999,999,3.02
999,999,999,999,3.66
999,999,999,999,3.49
999,999,999,999,3.14
1999,1000,999,999,3.03
1999,1000,1999,1000,3.11
999,999,999,999,3.26
999,999,999,999,3.67
1999,1000,999,999,3.58
999,999,999,999,3.50
999,999,999,999,3.49
1999,1000,1999,1000,3.65
999,999,0,0,3.02
999,999,999,999,3.49
999,999,999,999,3.22
1999,1000,1999,1000,3.65
999,999,999,999,3.18
999,999,999,999,3.53
999,999,999,999,3.45
999,999,999,999,3.27
1999,1000,999,999,3.71
1999,1000,999,999,3.57
999,999,999,999,3.52
999,999,999,999,3.66
999,999,999,999,3.64
4999,4000,0,0,3.10
999,999,999,999,3.02
0,0,0,0,3.01
999,999,999,999,3.06
999,999,999,999,3.06
999,999,0,0,3.01
999,999,999,999,3.58
999,999,999,999,3.11
999,999,999,999,3.20
1999,1000,999,999,3.09
999,999,999,999,3.68
7999,6000,1999,1000,3.51
999,999,999,999,3.01
999,999,999,999,3.25
999,999,999,999,3.58
999,999,999,999,3.44
999,999,999,999,3.09
999,999,999,999,3.53
999,999,999,999,3.56
999,999,999,999,3.41
